  source                                                            url                                                                     age    
  megapack-htapofpf7-ncmanoel71-3656s-projects.vercel.app           megapack.praticaefacil.store                                            12m    
  megapack-h7h2y6s4c-ncmanoel71-3656s-projects.vercel.app           megapack-pv-git-main-ncmanoel71-3656s-projects.vercel.app                5h    
  megapack-htapofpf7-ncmanoel71-3656s-projects.vercel.app           megapack-pv-ncmanoel71-3656-ncmanoel71-3656s-projects.vercel.app         5h    
  megapack-htapofpf7-ncmanoel71-3656s-projects.vercel.app           megapack-pv-ncmanoel71-3656s-projects.vercel.app                         5h    
  megapack-htapofpf7-ncmanoel71-3656s-projects.vercel.app           megapack-pv.vercel.app                                                   5h    
  tememcasa-gkmk60w23-ncmanoel71-3656s-projects.vercel.app          tememcasa-git-master-ncmanoel71-3656s-projects.vercel.app               17d    
  tememcasa-lp-v2-a28tata83-ncmanoel71-3656s-projects.vercel.app    tememcasa-lp-v2-git-main-ncmanoel71-3656s-projects.vercel.app           17d    
  tememcasa-lp-v2-39fiwwjmf-ncmanoel71-3656s-projects.vercel.app    tememcasa-lp-v2-git-master-ncmanoel71-3656s-projects.vercel.app         18d    
  tememcasa-lp-v2-atei3sxor-ncmanoel71-3656s-projects.vercel.app    www.praticaefacil.store                                                 19d    
  tememcasa-lp-v2-atei3sxor-ncmanoel71-3656s-projects.vercel.app    praticaefacil.store                                                     19d    
  tememcasa-lp-v2-atei3sxor-ncmanoel71-3656s-projects.vercel.app    tememcasa-lp-v2-ncmanoel71-3656-ncmanoel71-3656s-projects.vercel.app    19d    
  tememcasa-lp-v2-atei3sxor-ncmanoel71-3656s-projects.vercel.app    tememcasa-lp-v2.vercel.app                                              19d    
  tememcasa-lp-v2-atei3sxor-ncmanoel71-3656s-projects.vercel.app    tememcasa-lp-v2-ncmanoel71-3656s-projects.vercel.app                    19d    
  tememcasa-ev5ehexkn-ncmanoel71-3656s-projects.vercel.app          app.tememcasa.praticaefacil.store                                       19d    
  tememcasa-3j9qby6us-ncmanoel71-3656s-projects.vercel.app          tememcasa-git-main-ncmanoel71-3656s-projects.vercel.app                 19d    
  tememcasa-ev5ehexkn-ncmanoel71-3656s-projects.vercel.app          tememcasa.vercel.app                                                    22d    
  tememcasa-ev5ehexkn-ncmanoel71-3656s-projects.vercel.app          tememcasa-ncmanoel71-3656-ncmanoel71-3656s-projects.vercel.app          22d    
  tememcasa-ev5ehexkn-ncmanoel71-3656s-projects.vercel.app          tememcasa-ncmanoel71-3656s-projects.vercel.app                          22d    

